FWHM Report - PSF:1 
HuPro 25.04.0p5 
2026-03-04 15:39:33
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.879,0.243,(±1%)
0,1.883,0.262,(±1%),(theoretical)
1,1.881,0.217,(±1%)
1,1.883,0.238,(±1%),(theoretical)
2,1.880,0.189,(±1%)
2,1.883,0.210,(±1%),(theoretical)
3,1.873,0.254,(±1%)
3,1.883,0.173,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.881,0.324,(±1%)
0,1.883,0.262,(±1%),(theoretical)
1,1.884,0.285,(±1%)
1,1.883,0.238,(±1%),(theoretical)
2,1.881,0.266,(±1%)
2,1.883,0.210,(±1%),(theoretical)
3,1.982,0.300,(±1%)
3,1.883,0.173,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.606,0.629,(±1%)
0,2.604,0.594,(±1%),(theoretical)
1,2.596,0.551,(±1%)
1,2.625,0.549,(±1%),(theoretical)
2,2.580,0.494,(±1%)
2,2.630,0.498,(±1%),(theoretical)
3,2.595,0.666,(±1%)
3,2.625,0.429,(±1%),(theoretical)


