FWHM Report - PSF:7 
HuPro 25.04.0p5 
2025-08-29 16:03:50
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.144,0.251,(±1%)
0,2.152,0.270,(±1%),(theoretical)
1,2.146,0.223,(±1%)
1,2.152,0.242,(±1%),(theoretical)
2,2.140,0.194,(±1%)
2,2.152,0.210,(±1%),(theoretical)
3,2.152,0.186,(±1%)
3,2.152,0.175,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.144,0.337,(±1%)
0,2.152,0.270,(±1%),(theoretical)
1,2.143,0.277,(±1%)
1,2.152,0.242,(±1%),(theoretical)
2,2.139,0.265,(±1%)
2,2.152,0.210,(±1%),(theoretical)
3,2.137,0.193,(±1%)
3,2.152,0.175,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.875,0.818,(±1?)
0,2.842,0.674,(±1?),(theoretical)
1,2.846,0.678,(±1?)
1,2.848,0.612,(±1?),(theoretical)
2,2.812,0.652,(±1?)
2,2.838,0.545,(±1?),(theoretical)
3,2.789,0.654,(±1?)
3,2.843,0.463,(±1?),(theoretical)


