FWHM Report - PSF:6 
HuPro 25.04.0p5 
2025-08-29 16:02:03
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.530,0.329,(±10%)
0,2.491,0.274,(±10%),(theoretical)
1,2.534,0.282,(±10%)
1,2.491,0.245,(±10%),(theoretical)
2,2.529,0.261,(±10%)
2,2.491,0.214,(±10%),(theoretical)
3,2.463,0.249,(±10%)
3,2.491,0.188,(±10%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.554,0.375,(±10%)
0,2.491,0.274,(±10%),(theoretical)
1,2.540,0.304,(±10%)
1,2.491,0.245,(±10%),(theoretical)
2,2.526,0.302,(±10%)
2,2.491,0.212,(±10%),(theoretical)
3,2.107,0.278,(±10%)
3,2.491,0.176,(±10%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,3.617,1.086,(±1?)
0,3.499,0.640,(±1?),(theoretical)
1,3.597,0.980,(±1?)
1,3.509,0.580,(±1?),(theoretical)
2,3.565,0.967,(±1?)
2,3.501,0.511,(±1?),(theoretical)
3,3.046,0.576,(±1?)
3,3.493,0.431,(±1?),(theoretical)


