FWHM Report - PSF:2 
HuPro 25.04.0p5 
2025-12-19 12:12:06
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.149,0.248,(±1%)
0,2.152,0.270,(±1%),(theoretical)
1,2.148,0.219,(±1%)
1,2.152,0.243,(±1%),(theoretical)
2,2.146,0.195,(±1%)
2,2.152,0.211,(±1%),(theoretical)
3,2.141,0.194,(±1%)
3,2.152,0.176,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.145,0.334,(±1%)
0,2.152,0.270,(±1%),(theoretical)
1,2.151,0.277,(±1%)
1,2.152,0.243,(±1%),(theoretical)
2,2.153,0.263,(±1%)
2,2.152,0.211,(±1%),(theoretical)
3,2.146,0.207,(±1%)
3,2.152,0.176,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.826,0.715,(±1?)
0,2.848,0.684,(±1?),(theoretical)
1,2.793,0.610,(±1?)
1,2.856,0.623,(±1?),(theoretical)
2,2.767,0.555,(±1?)
2,2.846,0.557,(±1?),(theoretical)
3,2.739,0.529,(±1?)
3,2.849,0.477,(±1?),(theoretical)


