FWHM Report - PSF:0 
HuPro 25.04.0p5 
2026-03-06 13:19:53
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.593,0.419,(±1?)
0,0.000,-----
1,2.596,0.379,(±1?)
1,0.000,-----
2,2.595,0.417,(±1?)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.598,0.439,(±1?)
0,0.000,-----
1,2.605,0.392,(±1?)
1,0.000,-----
2,2.599,0.448,(±1?)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,3.083,1.341,(±10%)
0,0.000,-----
1,3.152,1.190,(±10%)
1,0.000,-----
2,3.164,1.251,(±10%)
2,0.000,-----
3,0.000,-----
3,0.000,-----


