FWHM Report - PSF:4 
HuPro 25.04.0p5 
2025-08-29 15:57:14
ch,maxX(µm),FWHMX(µm),precX,fit
0,3.908,0.511,(indet)
0,3.985,0.345,(indet),(theoretical)
1,3.921,0.478,(indet)
1,3.985,0.316,(indet),(theoretical)
2,3.935,0.445,(indet)
2,3.985,0.291,(indet),(theoretical)
3,4.046,0.444,(indet)
3,3.985,0.245,(indet),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,3.967,0.533,(indet)
0,3.985,0.301,(indet),(theoretical)
1,3.967,0.488,(indet)
1,3.985,0.266,(indet),(theoretical)
2,3.969,0.447,(indet)
2,3.985,0.235,(indet),(theoretical)
3,3.065,0.456,(indet)
3,3.985,0.211,(indet),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,5.739,2.320,(±1%)
0,5.951,0.976,(±1%),(theoretical)
1,5.776,2.048,(±1%)
1,5.995,0.878,(±1%),(theoretical)
2,5.882,1.765,(±1%)
2,5.993,0.778,(±1%),(theoretical)
3,3.942,1.627,(±1%)
3,5.984,0.656,(±1%),(theoretical)


