FWHM Report - PSF:3 
HuPro 25.04.0p5 
2025-12-19 12:14:01
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.052,0.767,(indet)
0,3.985,0.345,(indet),(theoretical)
1,3.992,0.940,(indet)
1,3.985,0.316,(indet),(theoretical)
2,3.896,0.938,(indet)
2,3.985,0.291,(indet),(theoretical)
3,4.039,1.157,(indet)
3,3.985,0.245,(indet),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,4.008,0.928,(indet)
0,3.985,0.301,(indet),(theoretical)
1,3.977,0.970,(indet)
1,3.985,0.266,(indet),(theoretical)
2,3.981,0.929,(indet)
2,3.985,0.235,(indet),(theoretical)
3,3.198,1.146,(indet)
3,3.985,0.211,(indet),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,5.853,2.419,(±1%)
0,5.951,0.976,(±1%),(theoretical)
1,5.996,2.150,(±1%)
1,5.995,0.878,(±1%),(theoretical)
2,6.027,1.998,(±1%)
2,5.993,0.778,(±1%),(theoretical)
3,4.781,1.918,(±1%)
3,5.984,0.656,(±1%),(theoretical)


