FWHM Report - PSF:1 
HuPro 25.04.0p5 
2026-03-06 13:21:44
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.343,0.607,(±1%)
0,0.000,-----
1,2.285,0.476,(±1%)
1,0.000,-----
2,2.233,0.363,(±1%)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.359,0.657,(±1%)
0,0.000,-----
1,2.255,0.535,(±1%)
1,0.000,-----
2,2.209,0.378,(±1%)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.555,1.727,(indet)
0,0.000,-----
1,2.671,1.602,(indet)
1,0.000,-----
2,2.958,0.969,(indet)
2,0.000,-----
3,0.000,-----
3,0.000,-----


