FWHM Report - PSF:6 
HuPro 26.04.0p0 
2026-05-27 15:53:17
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.809,0.230,(±1‰)
0,1.804,0.172,(±1‰),(theoretical)
1,1.801,0.290,(±1‰)
1,1.804,0.210,(±1‰),(theoretical)
2,1.804,0.307,(±1‰)
2,1.804,0.236,(±1‰),(theoretical)
3,1.802,0.335,(±1‰)
3,1.804,0.258,(±1‰),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.789,0.279,(±1‰)
0,1.804,0.172,(±1‰),(theoretical)
1,1.798,0.277,(±1‰)
1,1.804,0.210,(±1‰),(theoretical)
2,1.793,0.293,(±1‰)
2,1.804,0.236,(±1‰),(theoretical)
3,1.794,0.314,(±1‰)
3,1.804,0.258,(±1‰),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.428,0.653,(±1‰)
0,2.434,0.426,(±1‰),(theoretical)
1,2.402,0.595,(±1‰)
1,2.418,0.493,(±1‰),(theoretical)
2,2.411,0.609,(±1‰)
2,2.420,0.543,(±1‰),(theoretical)
3,2.415,0.700,(±1‰)
3,2.407,0.588,(±1‰),(theoretical)


