FWHM Report - PSF:5 
HuPro 26.04.0p0 
2026-05-27 15:49:41
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.283,0.267,(±1‰)
0,2.273,0.185,(±1‰),(theoretical)
1,2.263,0.331,(±1‰)
1,2.273,0.226,(±1‰),(theoretical)
2,2.269,0.366,(±1‰)
2,2.273,0.257,(±1‰),(theoretical)
3,2.269,0.392,(±1‰)
3,2.273,0.283,(±1‰),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.273,0.279,(±1‰)
0,2.273,0.185,(±1‰),(theoretical)
1,2.299,0.325,(±1‰)
1,2.273,0.226,(±1‰),(theoretical)
2,2.289,0.340,(±1‰)
2,2.273,0.257,(±1‰),(theoretical)
3,2.292,0.374,(±1‰)
3,2.273,0.283,(±1‰),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,3.244,0.918,(±1‰)
0,3.315,0.503,(±1‰),(theoretical)
1,3.407,1.082,(±1‰)
1,3.312,0.584,(±1‰),(theoretical)
2,3.406,1.221,(±1‰)
2,3.313,0.644,(±1‰),(theoretical)
3,3.416,1.425,(±1‰)
3,3.316,0.702,(±1‰),(theoretical)


