FWHM Report - PSF:0 
HuPro 25.04.0p5 
2025-09-19 12:16:56
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.306,1.100,(±10%)
0,4.443,0.329,(±10%),(theoretical)
1,4.303,1.173,(±10%)
1,4.443,0.330,(±10%),(theoretical)
2,3.795,0.887,(±10%)
2,4.443,0.303,(±10%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,4.458,0.641,(±10%)
0,4.443,0.305,(±10%),(theoretical)
1,4.452,0.650,(±10%)
1,4.443,0.307,(±10%),(theoretical)
2,4.434,0.572,(±10%)
2,4.443,0.276,(±10%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,8.103,3.495,(±1%)
0,7.173,0.832,(±1%),(theoretical)
1,8.050,3.710,(±1%)
1,7.170,0.804,(±1%),(theoretical)
2,8.776,2.031,(±1%)
2,7.192,0.718,(±1%),(theoretical)


