FWHM Report - PSF:3 
HuPro 25.04.0p5 
2025-08-29 12:54:45
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.402,0.377,(indet)
0,2.666,0.200,(indet),(theoretical)
1,2.174,0.642,(indet)
1,2.666,0.256,(indet),(theoretical)
2,2.196,0.563,(indet)
2,2.666,0.256,(indet),(theoretical)
3,2.163,0.562,(indet)
3,2.666,0.256,(indet),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.645,0.444,(indet)
0,2.666,0.173,(indet),(theoretical)
1,2.587,0.708,(indet)
1,2.666,0.221,(indet),(theoretical)
2,2.552,0.814,(indet)
2,2.666,0.221,(indet),(theoretical)
3,2.684,0.732,(indet)
3,2.666,0.221,(indet),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,5.366,2.228,(±10%)
0,4.187,0.492,(±10%),(theoretical)
1,5.538,2.546,(±10%)
1,4.183,0.615,(±10%),(theoretical)
2,5.224,2.380,(±10%)
2,4.183,0.615,(±10%),(theoretical)
3,5.387,2.432,(±10%)
3,4.183,0.615,(±10%),(theoretical)


