"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__561_power","metricsArrayString__561_error","metricsArrayString__power_instruction","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-03T12:01:56Z","0.012","0","0.124","powerMeter","6","1","1","0","0.17853724470161236","270.59898513182605","0.517","0.19105762711864432","0"
"","0","1","0.003","","30","3","5","","","","","",""
"","0","2","0.003","","59","6","10","","","","","",""
"","0","3","0.003","","117","12","20","","","","","",""
"","0","4","0.002","","175","18","30","","","","","",""
"","0","5","0.002","","224","22","40","","","","","",""
"","0","6","0.001","","284","28","50","","","","","",""
"","0","7","0.001","","340","34","60","","","","","",""
"","0","8","0.001","","393","39","70","","","","","",""
"","0","9","0.001","","444","44","80","","","","","",""
"","0.001","10","0.006","","490","49","90","","","","","",""
"","0.001","11","0.006","","512","51","100","","","","","",""
"","0.001","12","0.006","","","","","","","","","",""
"","0.001","13","0.006","","","","","","","","","",""
"","0.001","14","0.007","","","","","","","","","",""
"","0.001","15","0.008","","","","","","","","","",""
"","0.001","16","0.014","","","","","","","","","",""
"","0.002","17","0.021","","","","","","","","","",""
"","0.003","18","0.028","","","","","","","","","",""
"","0.003","19","0.031","","","","","","","","","",""
"","0.003","20","0.03","","","","","","","","","",""
"","0.003","21","0.029","","","","","","","","","",""
"","0.003","22","0.034","","","","","","","","","",""
"","0.005","23","0.045","","","","","","","","","",""
"","0.005","24","0.054","","","","","","","","","",""
"","0.006","25","0.058","","","","","","","","","",""
"","0.006","26","0.059","","","","","","","","","",""
"","0.006","27","0.059","","","","","","","","","",""
"","0.006","28","0.059","","","","","","","","","",""
"","0.006","29","0.064","","","","","","","","","",""
"","0.009","30","0.09","","","","","","","","","",""
"","0.011","31","0.109","","","","","","","","","",""
"","0.012","32","0.117","","","","","","","","","",""
"","0.012","33","0.117","","","","","","","","","",""
"","0.012","34","0.116","","","","","","","","","",""
"","0.012","35","0.119","","","","","","","","","",""
"","0.015","36","0.147","","","","","","","","","",""
"","0.017","37","0.169","","","","","","","","","",""
"","0.006","38","0.059","","","","","","","","","",""
"","0","39","0.001","","","","","","","","","",""
"","0","40","0","","","","","","","","","",""
"","0","41","0.002","","","","","","","","","",""
"","0","42","0.001","","","","","","","","","",""
"","0","43","0.001","","","","","","","","","",""
"","0","44","0.001","","","","","","","","","",""
"","0","45","0","","","","","","","","","",""
"","0","46","0","","","","","","","","","",""
"","0","47","0","","","","","","","","","",""
"","0.015","48","0.146","","","","","","","","","",""
"","0.017","49","0.172","","","","","","","","","",""
"","0.017","50","0.174","","","","","","","","","",""
"","0.018","51","0.175","","","","","","","","","",""
"","0.017","52","0.173","","","","","","","","","",""
"","0.017","53","0.173","","","","","","","","","",""
"","0.02","54","0.203","","","","","","","","","",""
"","0.023","55","0.228","","","","","","","","","",""
"","0.022","56","0.225","","","","","","","","","",""
"","0.023","57","0.226","","","","","","","","","",""
"","0.022","58","0.224","","","","","","","","","",""
"","0.022","59","0.224","","","","","","","","","",""
"","0.024","60","0.237","","","","","","","","","",""
"","0.028","61","0.279","","","","","","","","","",""
"","0.028","62","0.282","","","","","","","","","",""
"","0.028","63","0.283","","","","","","","","","",""
"","0.028","64","0.284","","","","","","","","","",""
"","0.028","65","0.281","","","","","","","","","",""
"","0.031","66","0.315","","","","","","","","","",""
"","0.035","67","0.345","","","","","","","","","",""
"","0.034","68","0.338","","","","","","","","","",""
"","0.034","69","0.34","","","","","","","","","",""
"","0.034","70","0.34","","","","","","","","","",""
"","0.034","71","0.338","","","","","","","","","",""
"","0.035","72","0.35","","","","","","","","","",""
"","0.038","73","0.377","","","","","","","","","",""
"","0.039","74","0.389","","","","","","","","","",""
"","0.039","75","0.389","","","","","","","","","",""
"","0.039","76","0.393","","","","","","","","","",""
"","0.039","77","0.393","","","","","","","","","",""
"","0.04","78","0.397","","","","","","","","","",""
"","0.044","79","0.435","","","","","","","","","",""
"","0.044","80","0.444","","","","","","","","","",""
"","0.044","81","0.441","","","","","","","","","",""
"","0.044","82","0.444","","","","","","","","","",""
"","0.044","83","0.445","","","","","","","","","",""
"","0.044","84","0.444","","","","","","","","","",""
"","0.048","85","0.485","","","","","","","","","",""
"","0.049","86","0.488","","","","","","","","","",""
"","0.049","87","0.49","","","","","","","","","",""
"","0.049","88","0.487","","","","","","","","","",""
"","0.05","89","0.503","","","","","","","","","",""
"","0.052","90","0.517","","","","","","","","","",""
"","0.051","91","0.512","","","","","","","","","",""
"","0.051","92","0.514","","","","","","","","","",""
"","0.051","93","0.515","","","","","","","","","",""
