FWHM Report - PSF:3 
HuPro 25.04.0p5 
2025-12-19 11:41:33
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.480,0.645,(±1%)
0,4.475,0.304,(±1%),(theoretical)
1,4.477,0.637,(±1%)
1,4.475,0.305,(±1%),(theoretical)
2,4.474,0.490,(±1%)
2,4.475,0.291,(±1%),(theoretical)
3,4.476,0.491,(±1%)
3,4.475,0.300,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,4.468,0.614,(±1%)
0,4.475,0.304,(±1%),(theoretical)
1,4.469,0.594,(±1%)
1,4.475,0.305,(±1%),(theoretical)
2,4.473,0.452,(±1%)
2,4.475,0.277,(±1%),(theoretical)
3,4.452,0.464,(±1%)
3,4.475,0.287,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,7.541,3.968,(±1?)
0,6.998,0.837,(±1?),(theoretical)
1,7.478,3.799,(±1?)
1,6.996,0.816,(±1?),(theoretical)
2,7.493,3.356,(±1?)
2,6.987,0.705,(±1?),(theoretical)
3,8.213,3.977,(±1?)
3,7.002,0.689,(±1?),(theoretical)


