FWHM Report - PSF:0 
HuPro 25.04.0p5 
2025-12-19 11:21:38
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.466,0.650,(±1%)
0,4.475,0.304,(±1%),(theoretical)
1,4.461,0.611,(±1%)
1,4.475,0.308,(±1%),(theoretical)
2,4.470,0.526,(±1%)
2,4.475,0.346,(±1%),(theoretical)
3,4.535,0.898,(±1%)
3,4.475,0.300,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,4.484,0.552,(±1%)
0,4.475,0.304,(±1%),(theoretical)
1,4.470,0.528,(±1%)
1,4.475,0.308,(±1%),(theoretical)
2,4.469,0.465,(±1%)
2,4.475,0.346,(±1%),(theoretical)
3,4.499,1.462,(±1%)
3,4.475,0.287,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,7.203,3.753,(±1%)
0,6.584,0.838,(±1%),(theoretical)
1,7.097,3.608,(±1%)
1,6.579,0.793,(±1%),(theoretical)
2,6.916,3.161,(±1%)
2,6.607,0.790,(±1%),(theoretical)
3,6.825,3.201,(±1%)
3,6.599,0.691,(±1%),(theoretical)


