FWHM Report - PSF:1 
HuPro 25.04.0p5 
2026-01-15 14:47:54
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.463,2.377,(±1%)
0,4.475,0.304,(±1%),(theoretical)
1,4.439,0.968,(±1%)
1,4.475,0.308,(±1%),(theoretical)
2,4.450,0.764,(±1%)
2,4.475,0.292,(±1%),(theoretical)
3,4.447,1.848,(±1%)
3,4.475,0.300,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,4.470,0.919,(±1%)
0,4.475,0.304,(±1%),(theoretical)
1,4.497,0.863,(±1%)
1,4.475,0.308,(±1%),(theoretical)
2,4.474,0.591,(±1%)
2,4.475,0.278,(±1%),(theoretical)
3,5.334,0.568,(±1%)
3,4.475,0.287,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,5.768,7.996,(±1%)
0,6.584,0.838,(±1%),(theoretical)
1,6.035,7.611,(±1%)
1,6.579,0.793,(±1%),(theoretical)
2,5.734,6.851,(±1%)
2,6.601,0.704,(±1%),(theoretical)
3,3.648,1.874,(±1%)
3,6.599,0.691,(±1%),(theoretical)


