FWHM Report - PSF:2 
HuPro 25.04.0p5 
2025-12-19 11:34:11
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.366,0.836,(±1%)
0,4.475,0.307,(±1%),(theoretical)
1,4.472,0.764,(±1%)
1,4.475,0.308,(±1%),(theoretical)
2,4.468,0.531,(±1%)
2,4.475,0.297,(±1%),(theoretical)
3,4.312,1.288,(±1%)
3,4.475,0.311,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,4.425,0.652,(±1%)
0,4.475,0.307,(±1%),(theoretical)
1,4.412,0.709,(±1%)
1,4.475,0.308,(±1%),(theoretical)
2,4.477,0.404,(±1%)
2,4.475,0.284,(±1%),(theoretical)
3,4.416,0.900,(±1%)
3,4.475,0.297,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,6.181,6.924,(±1%)
0,6.481,0.859,(±1%),(theoretical)
1,7.404,6.522,(±1%)
1,6.484,0.844,(±1%),(theoretical)
2,7.317,5.762,(±1%)
2,6.476,0.769,(±1%),(theoretical)
3,6.606,1.805,(±1%)
3,6.451,0.826,(±1%),(theoretical)


