FWHM Report - PSF:2 
HuPro 26.04.0p0 
2026-05-14 13:38:45
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.811,0.261,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.795,0.234,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.800,0.329,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.798,0.306,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.806,0.227,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.804,0.191,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.800,0.248,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.803,0.245,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.308,0.544,(±1%)
0,2.358,0.403,(±1%),(theoretical)
1,2.320,0.507,(±1%)
1,2.356,0.465,(±1%),(theoretical)
2,2.336,0.576,(±1%)
2,2.336,0.512,(±1%),(theoretical)
3,2.336,0.631,(±1%)
3,2.342,0.558,(±1%),(theoretical)


