FWHM Report - PSF:3 
HuPro 25.04.0p5 
2026-01-20 13:07:53
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.834,0.192,(±1%)
0,1.818,0.172,(±1%),(theoretical)
1,1.820,0.218,(±1%)
1,1.818,0.209,(±1%),(theoretical)
2,1.823,0.244,(±1%)
2,1.818,0.235,(±1%),(theoretical)
3,1.811,0.282,(±1%)
3,1.818,0.256,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.803,0.182,(±1%)
0,1.818,0.172,(±1%),(theoretical)
1,1.815,0.188,(±1%)
1,1.818,0.209,(±1%),(theoretical)
2,1.817,0.210,(±1%)
2,1.818,0.235,(±1%),(theoretical)
3,1.816,0.231,(±1%)
3,1.818,0.256,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.308,0.589,(±1%)
0,2.405,0.414,(±1%),(theoretical)
1,2.386,0.618,(±1%)
1,2.412,0.477,(±1%),(theoretical)
2,2.421,0.690,(±1%)
2,2.406,0.527,(±1%),(theoretical)
3,2.420,0.759,(±1%)
3,2.412,0.574,(±1%),(theoretical)


