FWHM Report - PSF:3 
HuPro 25.04.0p5 
2026-04-01 15:04:22
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.796,0.237,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.798,0.246,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.801,0.288,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.792,0.304,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.797,0.197,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.812,0.200,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.803,0.224,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.804,0.247,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.314,0.529,(±1%)
0,2.358,0.403,(±1%),(theoretical)
1,2.319,0.523,(±1%)
1,2.356,0.465,(±1%),(theoretical)
2,2.342,0.589,(±1%)
2,2.336,0.512,(±1%),(theoretical)
3,2.339,0.643,(±1%)
3,2.342,0.558,(±1%),(theoretical)


