FWHM Report - PSF:5 
HuPro 25.04.0p5 
2026-04-01 15:13:16
ch,maxX(µm),FWHMX(µm),precX,fit
0,7.437,0.758,(±1%)
0,0.000,-----
1,7.445,0.717,(±1%)
1,0.000,-----
2,7.440,0.671,(±1%)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxY(µm),FWHMY(µm),precY,fit
0,7.464,0.817,(±1%)
0,0.000,-----
1,7.453,0.697,(±1%)
1,0.000,-----
2,7.459,0.702,(±1%)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,19.691,5.226,(indet)
0,0.000,-----
1,19.648,4.991,(indet)
1,0.000,-----
2,19.778,4.613,(indet)
2,0.000,-----
3,0.000,-----
3,0.000,-----


