FWHM Report - PSF:1 
HuPro 26.04.0p0 
2026-04-29 15:17:22
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.078,0.486,(±1‰)
0,0.000,-----
1,4.080,0.457,(±1‰)
1,0.000,-----
2,4.074,0.455,(±1‰)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxY(µm),FWHMY(µm),precY,fit
0,4.107,0.501,(±1‰)
0,0.000,-----
1,4.106,0.456,(±1‰)
1,0.000,-----
2,4.095,0.475,(±1‰)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,6.055,1.686,(±1‰)
0,0.000,-----
1,6.046,1.464,(±1‰)
1,0.000,-----
2,6.000,1.264,(±1‰)
2,0.000,-----
3,0.000,-----
3,0.000,-----


