FWHM Report - PSF:9 
HuPro 25.04.0p5 
2026-04-01 15:25:11
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.037,0.299,(±1%)
0,2.034,0.269,(±1%),(theoretical)
1,2.041,0.265,(±1%)
1,2.034,0.238,(±1%),(theoretical)
2,2.044,0.237,(±1%)
2,2.034,0.208,(±1%),(theoretical)
3,2.050,0.202,(±1%)
3,2.034,0.175,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.037,0.243,(±1%)
0,2.034,0.269,(±1%),(theoretical)
1,2.038,0.213,(±1%)
1,2.034,0.238,(±1%),(theoretical)
2,2.039,0.192,(±1%)
2,2.034,0.208,(±1%),(theoretical)
3,2.023,0.182,(±1%)
3,2.034,0.175,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.704,0.697,(±1?)
0,2.731,0.647,(±1?),(theoretical)
1,2.709,0.638,(±1?)
1,2.745,0.587,(±1?),(theoretical)
2,2.708,0.610,(±1?)
2,2.732,0.522,(±1?),(theoretical)
3,2.747,0.655,(±1?)
3,2.738,0.448,(±1?),(theoretical)


