FWHM Report - PSF:2 
HuPro 25.04.0p5 
2025-12-01 12:25:57
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.913,0.215,(±1%)
0,1.948,0.178,(±1%),(theoretical)
1,1.942,0.249,(±1%)
1,1.948,0.216,(±1%),(theoretical)
2,1.945,0.286,(±1%)
2,1.948,0.244,(±1%),(theoretical)
3,1.933,0.332,(±1%)
3,1.948,0.266,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.850,0.276,(±1%)
0,1.948,0.178,(±1%),(theoretical)
1,1.947,0.205,(±1%)
1,1.948,0.216,(±1%),(theoretical)
2,1.948,0.232,(±1%)
2,1.948,0.244,(±1%),(theoretical)
3,1.947,0.275,(±1%)
3,1.948,0.266,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.939,0.582,(±1?)
0,2.769,0.475,(±1?),(theoretical)
1,2.740,0.672,(±1?)
1,2.772,0.549,(±1?),(theoretical)
2,2.770,0.724,(±1?)
2,2.769,0.602,(±1?),(theoretical)
3,2.758,0.819,(±1?)
3,2.772,0.655,(±1?),(theoretical)


