FWHM Report - PSF:0 
HuPro 25.04.0p5 
2025-10-02 15:17:15
ch,maxX(µm),FWHMX(µm),precX,fit
0,6.698,1.213,(±1%)
0,6.370,0.364,(±1%),(theoretical)
1,6.501,1.363,(±1%)
1,6.370,0.443,(±1%),(theoretical)
2,6.611,1.371,(±1%)
2,6.370,0.509,(±1%),(theoretical)
3,6.524,1.516,(±1%)
3,6.370,0.566,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,6.219,1.169,(±1%)
0,6.370,0.364,(±1%),(theoretical)
1,6.451,1.354,(±1%)
1,6.370,0.443,(±1%),(theoretical)
2,6.304,1.270,(±1%)
2,6.370,0.509,(±1%),(theoretical)
3,6.447,1.475,(±1%)
3,6.370,0.566,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,18.986,5.046,(±1?)
0,19.640,3.496,(±1?),(theoretical)
1,18.990,5.365,(±1?)
1,19.568,4.007,(±1?),(theoretical)
2,18.863,6.018,(±1?)
2,19.484,4.380,(±1?),(theoretical)
3,19.398,6.751,(±1?)
3,19.452,4.735,(±1?),(theoretical)


