FWHM Report - PSF:2 
HuPro 26.04.0p0 
2026-08-19 11:43:52
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.815,0.191,(±1%)
0,1.804,0.170,(±1%),(theoretical)
1,1.802,0.231,(±1%)
1,1.804,0.205,(±1%),(theoretical)
2,1.804,0.280,(±1%)
2,1.804,0.232,(±1%),(theoretical)
3,1.803,0.317,(±1%)
3,1.804,0.252,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.759,0.178,(±1%)
0,1.804,0.170,(±1%),(theoretical)
1,1.798,0.187,(±1%)
1,1.804,0.205,(±1%),(theoretical)
2,1.803,0.205,(±1%)
2,1.804,0.232,(±1%),(theoretical)
3,1.802,0.240,(±1%)
3,1.804,0.252,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.404,0.557,(±1%)
0,2.342,0.399,(±1%),(theoretical)
1,2.304,0.561,(±1%)
1,2.341,0.460,(±1%),(theoretical)
2,2.326,0.590,(±1%)
2,2.344,0.507,(±1%),(theoretical)
3,2.333,0.660,(±1%)
3,2.327,0.552,(±1%),(theoretical)


