FWHM Report - PSF:3 
HuPro 25.04.0p5 
2025-10-02 16:33:52
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.922,0.217,(±1%)
0,0.000,-----
1,1.946,0.250,(±1%)
1,0.000,-----
2,1.949,0.288,(±1%)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.801,0.244,(±1%)
0,0.000,-----
1,1.943,0.228,(±1%)
1,0.000,-----
2,1.947,0.243,(±1%)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,3.068,0.696,(±1?)
0,0.000,-----
1,2.754,0.796,(±1?)
1,0.000,-----
2,2.777,0.776,(±1?)
2,0.000,-----
3,0.000,-----
3,0.000,-----


