FWHM Report - PSF:7 
HuPro 26.04.0p0 
2026-09-08 16:38:33
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.815,0.217,(±1%)
0,1.804,0.173,(±1%),(theoretical)
1,1.758,0.332,(±1%)
1,1.804,0.210,(±1%),(theoretical)
2,1.669,0.487,(±1%)
2,1.804,0.237,(±1%),(theoretical)
3,1.931,0.455,(±1%)
3,1.804,0.257,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.815,0.278,(±1%)
0,1.804,0.173,(±1%),(theoretical)
1,1.848,0.275,(±1%)
1,1.804,0.210,(±1%),(theoretical)
2,1.870,0.339,(±1%)
2,1.804,0.237,(±1%),(theoretical)
3,1.863,0.340,(±1%)
3,1.804,0.257,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.302,0.573,(±1%)
0,2.356,0.435,(±1%),(theoretical)
1,2.289,0.680,(±1%)
1,2.357,0.498,(±1%),(theoretical)
2,2.363,0.737,(±1%)
2,2.351,0.546,(±1%),(theoretical)
3,2.379,0.743,(±1%)
3,2.332,0.592,(±1%),(theoretical)


