FWHM Report - PSF:4 
HuPro 26.04.0p0 
2026-05-27 14:22:53
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.823,0.179,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.799,0.254,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.803,0.269,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.796,0.300,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.809,0.218,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.810,0.197,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.805,0.212,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.805,0.241,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.364,0.455,(±1%)
0,2.344,0.403,(±1%),(theoretical)
1,2.320,0.489,(±1%)
1,2.342,0.465,(±1%),(theoretical)
2,2.329,0.544,(±1%)
2,2.322,0.512,(±1%),(theoretical)
3,2.330,0.612,(±1%)
3,2.328,0.558,(±1%),(theoretical)


