FWHM Report - PSF:3 
HuPro 26.04.0p0 
2026-05-27 14:21:29
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.123,0.211,(±1%)
0,1.989,0.180,(±1%),(theoretical)
1,1.971,0.255,(±1%)
1,1.989,0.219,(±1%),(theoretical)
2,1.979,0.278,(±1%)
2,1.989,0.248,(±1%),(theoretical)
3,1.977,0.307,(±1%)
3,1.989,0.271,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.975,0.214,(±1%)
0,1.989,0.180,(±1%),(theoretical)
1,1.991,0.206,(±1%)
1,1.989,0.219,(±1%),(theoretical)
2,1.989,0.225,(±1%)
2,1.989,0.248,(±1%),(theoretical)
3,1.991,0.263,(±1%)
3,1.989,0.271,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,3.033,0.810,(±1%)
0,2.884,0.480,(±1%),(theoretical)
1,2.867,0.645,(±1%)
1,2.886,0.555,(±1%),(theoretical)
2,2.876,0.706,(±1%)
2,2.858,0.611,(±1%),(theoretical)
3,2.863,0.795,(±1%)
3,2.862,0.665,(±1%),(theoretical)


