FWHM Report - PSF:1 
HuPro 26.04.0p0 
2026-05-27 14:16:51
ch,maxX(µm),FWHMX(µm),precX,fit
0,4.045,0.519,(±1‰)
0,3.835,0.215,(±1‰),(theoretical)
1,3.799,0.495,(±1‰)
1,3.835,0.262,(±1‰),(theoretical)
2,3.814,0.587,(±1‰)
2,3.835,0.300,(±1‰),(theoretical)
3,3.819,0.545,(±1‰)
3,3.835,0.334,(±1‰),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,3.663,0.583,(±1‰)
0,3.835,0.215,(±1‰),(theoretical)
1,3.830,0.499,(±1‰)
1,3.835,0.262,(±1‰),(theoretical)
2,3.839,0.538,(±1‰)
2,3.835,0.300,(±1‰),(theoretical)
3,3.845,0.543,(±1‰)
3,3.835,0.334,(±1‰),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,5.716,1.831,(±1%)
0,6.598,1.004,(±1%),(theoretical)
1,6.540,1.698,(±1%)
1,6.606,1.154,(±1%),(theoretical)
2,6.558,1.879,(±1%)
2,6.611,1.266,(±1%),(theoretical)
3,6.513,1.999,(±1%)
3,6.668,1.371,(±1%),(theoretical)


