FWHM Report - PSF:4 
HuPro 25.04.0p5 
2025-12-08 14:48:38
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.979,0.253,(±10%)
0,1.973,0.261,(±10%),(theoretical)
1,1.978,0.219,(±10%)
1,1.973,0.235,(±10%),(theoretical)
2,1.981,0.196,(±10%)
2,1.973,0.214,(±10%),(theoretical)
3,1.975,0.189,(±10%)
3,1.973,0.181,(±10%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.982,0.325,(±10%)
0,1.973,0.261,(±10%),(theoretical)
1,1.987,0.281,(±10%)
1,1.973,0.234,(±10%),(theoretical)
2,1.990,0.263,(±10%)
2,1.973,0.205,(±10%),(theoretical)
3,2.000,0.207,(±10%)
3,1.973,0.170,(±10%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.495,0.621,(±1?)
0,2.481,0.548,(±1?),(theoretical)
1,2.493,0.591,(±1?)
1,2.489,0.496,(±1?),(theoretical)
2,2.472,0.531,(±1?)
2,2.472,0.453,(±1?),(theoretical)
3,2.285,0.460,(±1?)
3,2.481,0.390,(±1?),(theoretical)


