FWHM Report - PSF:2 
HuPro 25.04.0p5 
2025-08-29 13:23:17
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.759,0.303,(±10%)
0,2.762,0.277,(±10%),(theoretical)
1,2.757,0.275,(±10%)
1,2.762,0.245,(±10%),(theoretical)
2,2.755,0.247,(±10%)
2,2.762,0.214,(±10%),(theoretical)
3,2.763,0.218,(±10%)
3,2.762,0.188,(±10%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.768,0.347,(±10%)
0,2.762,0.277,(±10%),(theoretical)
1,2.766,0.305,(±10%)
1,2.762,0.245,(±10%),(theoretical)
2,2.765,0.276,(±10%)
2,2.762,0.212,(±10%),(theoretical)
3,2.758,0.232,(±10%)
3,2.762,0.176,(±10%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,3.552,0.905,(±1?)
0,3.456,0.749,(±1?),(theoretical)
1,3.506,0.780,(±1?)
1,3.466,0.670,(±1?),(theoretical)
2,3.479,0.707,(±1?)
2,3.477,0.596,(±1?),(theoretical)
3,3.391,0.577,(±1?)
3,3.471,0.505,(±1?),(theoretical)


