FWHM Report - PSF:1 
HuPro 26.04.0p0 
2026-08-06 15:54:36
ch,maxX(µm),FWHMX(µm),precX,fit
0,3.762,0.585,(±1‰)
0,0.000,-----
1,3.755,0.487,(±1‰)
1,0.000,-----
2,3.742,0.488,(±1‰)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxY(µm),FWHMY(µm),precY,fit
0,3.821,0.562,(±1‰)
0,0.000,-----
1,3.777,0.480,(±1‰)
1,0.000,-----
2,3.778,0.481,(±1‰)
2,0.000,-----
3,0.000,-----
3,0.000,-----

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,5.885,1.683,(±1‰)
0,0.000,-----
1,6.006,1.440,(±1‰)
1,0.000,-----
2,6.051,1.399,(±1‰)
2,0.000,-----
3,0.000,-----
3,0.000,-----


