FWHM Report - PSF:0 
HuPro 26.04.0p0 
2026-06-24 09:40:16
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.012,0.385,(±1%)
0,2.010,0.257,(±1%),(theoretical)
1,1.999,0.366,(±1%)
1,2.010,0.235,(±1%),(theoretical)
2,2.012,0.255,(±1%)
2,2.010,0.210,(±1%),(theoretical)
3,2.011,0.419,(±1%)
3,2.010,0.177,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.015,0.348,(±1%)
0,2.010,0.257,(±1%),(theoretical)
1,2.020,0.369,(±1%)
1,2.010,0.235,(±1%),(theoretical)
2,2.013,0.230,(±1%)
2,2.010,0.210,(±1%),(theoretical)
3,2.013,0.366,(±1%)
3,2.010,0.174,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.435,0.679,(±1‰)
0,2.452,0.596,(±1‰),(theoretical)
1,2.432,0.626,(±1‰)
1,2.452,0.543,(±1‰),(theoretical)
2,2.431,0.553,(±1‰)
2,2.455,0.494,(±1‰),(theoretical)
3,2.483,0.693,(±1‰)
3,2.467,0.434,(±1‰),(theoretical)


