FWHM Report - PSF:4 
HuPro 25.04.0p5 
2026-03-03 13:24:20
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.657,0.334,(±10%)
0,1.658,0.224,(±10%),(theoretical)
1,1.658,0.293,(±10%)
1,1.658,0.200,(±10%),(theoretical)
2,1.660,0.253,(±10%)
2,1.658,0.178,(±10%),(theoretical)
3,1.633,0.328,(±10%)
3,1.658,0.156,(±10%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.656,0.336,(±10%)
0,1.658,0.212,(±10%),(theoretical)
1,1.671,0.373,(±10%)
1,1.658,0.185,(±10%),(theoretical)
2,1.661,0.254,(±10%)
2,1.658,0.162,(±10%),(theoretical)
3,1.668,0.290,(±10%)
3,1.658,0.136,(±10%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.493,0.878,(±1%)
0,2.501,0.694,(±1%),(theoretical)
1,2.490,0.806,(±1%)
1,2.495,0.605,(±1%),(theoretical)
2,2.485,0.696,(±1%)
2,2.506,0.529,(±1%),(theoretical)
3,2.538,0.767,(±1%)
3,2.500,0.445,(±1%),(theoretical)


