FWHM Report - PSF:2 
HuPro 25.04.0p5 
2026-03-03 13:13:51
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.266,0.888,(indet)
0,2.261,0.312,(indet),(theoretical)
1,2.282,0.841,(indet)
1,2.261,0.269,(indet),(theoretical)
2,2.310,0.934,(indet)
2,2.261,0.245,(indet),(theoretical)
3,2.148,0.996,(indet)
3,2.261,0.222,(indet),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.259,0.892,(indet)
0,2.261,0.271,(indet),(theoretical)
1,2.288,0.959,(indet)
1,2.261,0.238,(indet),(theoretical)
2,2.286,0.937,(indet)
2,2.261,0.213,(indet),(theoretical)
3,2.235,0.973,(indet)
3,2.261,0.193,(indet),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,4.351,2.295,(±1?)
0,4.373,1.322,(±1?),(theoretical)
1,4.350,2.271,(±1?)
1,4.367,1.154,(±1?),(theoretical)
2,4.343,2.344,(±1?)
2,4.362,1.009,(±1?),(theoretical)
3,4.542,3.655,(±1?)
3,4.355,0.846,(±1?),(theoretical)


