FWHM Report - PSF:0 
HuPro 25.04.0p5 
2026-01-21 12:19:55
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.654,0.394,(±10%)
0,1.658,0.224,(±10%),(theoretical)
1,1.651,0.334,(±10%)
1,1.658,0.200,(±10%),(theoretical)
2,1.652,0.314,(±10%)
2,1.658,0.178,(±10%),(theoretical)
3,1.621,0.341,(±10%)
3,1.658,0.156,(±10%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.668,0.395,(±10%)
0,1.658,0.212,(±10%),(theoretical)
1,1.690,0.397,(±10%)
1,1.658,0.185,(±10%),(theoretical)
2,1.677,0.314,(±10%)
2,1.658,0.162,(±10%),(theoretical)
3,1.673,0.300,(±10%)
3,1.658,0.136,(±10%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.371,1.802,(±1?)
0,2.673,0.694,(±1?),(theoretical)
1,2.515,1.619,(±1?)
1,2.667,0.606,(±1?),(theoretical)
2,2.440,1.625,(±1?)
2,2.662,0.530,(±1?),(theoretical)
3,3.076,1.682,(±1?)
3,2.656,0.445,(±1?),(theoretical)


