FWHM Report - PSF:1 
HuPro 26.04.0p0 
2026-06-24 09:45:13
ch,maxX(µm),FWHMX(µm),precX,fit
0,2.010,0.333,(±1%)
0,2.010,0.257,(±1%),(theoretical)
1,2.010,0.328,(±1%)
1,2.010,0.235,(±1%),(theoretical)
2,2.013,0.319,(±1%)
2,2.010,0.210,(±1%),(theoretical)
3,1.995,0.259,(±1%)
3,2.010,0.177,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,2.015,0.351,(±1%)
0,2.010,0.257,(±1%),(theoretical)
1,2.018,0.401,(±1%)
1,2.010,0.235,(±1%),(theoretical)
2,2.019,0.341,(±1%)
2,2.010,0.210,(±1%),(theoretical)
3,2.024,0.227,(±1%)
3,2.010,0.174,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.432,0.703,(±1‰)
0,2.451,0.595,(±1‰),(theoretical)
1,2.431,0.620,(±1‰)
1,2.452,0.542,(±1‰),(theoretical)
2,2.433,0.551,(±1‰)
2,2.454,0.493,(±1‰),(theoretical)
3,2.511,0.563,(±1‰)
3,2.467,0.433,(±1‰),(theoretical)


