FWHM Report - PSF:0 
HuPro 26.04.0p0 
2026-04-28 13:04:32
ch,maxX(µm),FWHMX(µm),precX,fit
0,19.299,0.322,(±1‰)
0,19.294,0.263,(±1‰),(theoretical)
1,19.292,0.283,(±1‰)
1,19.294,0.228,(±1‰),(theoretical)
2,19.293,0.254,(±1‰)
2,19.294,0.200,(±1‰),(theoretical)
3,19.288,0.289,(±1‰)
3,19.294,0.171,(±1‰),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,19.308,0.317,(±1‰)
0,19.312,0.263,(±1‰),(theoretical)
1,19.315,0.313,(±1‰)
1,19.312,0.228,(±1‰),(theoretical)
2,19.312,0.250,(±1‰)
2,19.312,0.200,(±1‰),(theoretical)
3,19.316,0.245,(±1‰)
3,19.312,0.171,(±1‰),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,3.503,0.644,(±1‰)
0,3.544,0.551,(±1‰),(theoretical)
1,3.512,0.584,(±1‰)
1,3.556,0.477,(±1‰),(theoretical)
2,3.512,0.538,(±1‰)
2,3.533,0.419,(±1‰),(theoretical)
3,3.548,0.576,(±1‰)
3,3.528,0.356,(±1‰),(theoretical)


