FWHM Report - PSF:5 
HuPro 25.04.0p5 
2026-03-03 13:32:03
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.809,0.359,(±10%)
0,1.809,0.232,(±10%),(theoretical)
1,1.809,0.319,(±10%)
1,1.809,0.212,(±10%),(theoretical)
2,1.809,0.276,(±10%)
2,1.809,0.189,(±10%),(theoretical)
3,2.109,0.438,(±10%)
3,1.809,0.164,(±10%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.809,0.371,(±10%)
0,1.809,0.228,(±10%),(theoretical)
1,1.818,0.414,(±10%)
1,1.809,0.199,(±10%),(theoretical)
2,1.810,0.279,(±10%)
2,1.809,0.174,(±10%),(theoretical)
3,1.696,0.441,(±10%)
3,1.809,0.145,(±10%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.887,1.054,(±1%)
0,2.896,0.849,(±1%),(theoretical)
1,2.890,0.945,(±1%)
1,2.890,0.741,(±1%),(theoretical)
2,2.894,0.820,(±1%)
2,2.886,0.648,(±1%),(theoretical)
3,2.969,1.136,(±1%)
3,2.880,0.543,(±1%),(theoretical)


