FWHM Report - PSF:1 
HuPro 24.10.0p6 
2025-08-27 15:18:36
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.838,0.250,(±1%)
1,1.805,0.239,(±1%)
2,1.810,0.303,(±1%)
3,1.791,0.298,(±1%)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.798,0.214,(±1%)
1,1.821,0.208,(±1%)
2,1.821,0.230,(±1%)
3,1.819,0.262,(±1%)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.381,0.450,(±1?)
1,2.438,0.497,(±1?)
2,2.422,0.562,(±1?)
3,2.421,0.636,(±1?)


