FWHM Report - PSF:1 
HuPro 25.04.0p5 
2026-01-20 12:28:41
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.812,0.363,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.826,0.357,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.817,0.431,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.796,0.433,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.871,0.333,(±1%)
0,1.804,0.172,(±1%),(theoretical)
1,1.820,0.307,(±1%)
1,1.804,0.208,(±1%),(theoretical)
2,1.810,0.361,(±1%)
2,1.804,0.235,(±1%),(theoretical)
3,1.805,0.368,(±1%)
3,1.804,0.255,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.405,0.506,(±1%)
0,2.358,0.403,(±1%),(theoretical)
1,2.338,0.494,(±1%)
1,2.356,0.465,(±1%),(theoretical)
2,2.334,0.552,(±1%)
2,2.336,0.512,(±1%),(theoretical)
3,2.344,0.627,(±1%)
3,2.342,0.558,(±1%),(theoretical)


