FWHM Report - PSF:3 
HuPro 26.04.0p0 
2026-08-19 12:06:41
ch,maxX(µm),FWHMX(µm),precX,fit
0,1.957,0.235,(±1%)
0,1.948,0.178,(±1%),(theoretical)
1,1.929,0.247,(±1%)
1,1.948,0.216,(±1%),(theoretical)
2,1.940,0.272,(±1%)
2,1.948,0.244,(±1%),(theoretical)
3,1.937,0.294,(±1%)
3,1.948,0.266,(±1%),(theoretical)

ch,maxY(µm),FWHMY(µm),precY,fit
0,1.935,0.196,(±1%)
0,1.948,0.178,(±1%),(theoretical)
1,1.948,0.228,(±1%)
1,1.948,0.216,(±1%),(theoretical)
2,1.949,0.233,(±1%)
2,1.948,0.244,(±1%),(theoretical)
3,1.943,0.272,(±1%)
3,1.948,0.266,(±1%),(theoretical)

ch,maxZ(µm),FWHMZ(µm),precZ,fit
0,2.984,0.704,(±1%)
0,2.889,0.470,(±1%),(theoretical)
1,2.867,0.659,(±1%)
1,2.891,0.544,(±1%),(theoretical)
2,2.884,0.718,(±1%)
2,2.893,0.599,(±1%),(theoretical)
3,2.866,0.823,(±1%)
3,2.867,0.653,(±1%),(theoretical)


